Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Abbreviations
Parasites Common Roundworm Cats and Dogs,,680,900,2500,13930,198510,323300,376900,404900,409150,408000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Cryptocotyle Lingua Adult,,680,900,2500,5500,13930,122500,322600,409950,416000,414000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Dientamoeba Fragilis,,680,900,2500,5500,13930,122500,322600,401350,406050,404000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Dirofilaria Immitis Dog Heartworm,,2500,13930,204510,337300,388950,390700,389000,408150,411150,409000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Echinoporyphium Recurvatum,,2500,13930,204510,337300,388950,390700,389000,418550,423900,421000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Entamoeba Gingivalis Trophozoite,,810,1420,4320,5500,13930,122500,322600,433800,441000,438000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Enterobiasis,Anus,20,120,773,826,827,835,4152,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Fasciola Hepatica Cercariae,,1058.43,21259.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Fasciola Hepatica Eggs,,20,320,680,950,7500,25910,62500,275410,454370,515430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciola Hepatica Eggs,,1053.47,21159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Fasciola Hepatica Miracidia 1,,1048.5,21059.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Fasciola Hepatica Miracidia,,20,320,650,950,13610,25000,62500,275430,451170,519680,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciola Hepatica Rediae,,20,320,730,950,2500,25410,62500,275430,452590,517500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciolopsis Buski Adult,,30,230,830,5170,25430,37500,62500,150000,225910,475410,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciolopsis Buski Eggs,,30,250,830,5430,25000,37500,62500,150000,225430,479500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciolopsis Cercariae,,30,300,830,5250,25410,37500,62500,150000,225430,478500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciolopsis Miracidia,,30,370,830,5170,25430,37500,62500,150000,225910,475410,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Fasciolopsis Rediae,,30,460,870,5250,25430,37500,62500,150000,225000,475430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Filariose,Blood Organs,112,120,332,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Filariose,,230,500,2800,5230,11910,91110,401430,434000,443210,454250,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Fischoedrius Elongatus,,190,520,780,1220,13390,5200,17500,72500,234250,425430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flatworms,,30,240,700,1290,12330,27500,35410,142000,357770,475910,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Blood,,140,320,870,2580,17500,44430,72500,92500,151000,453720,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes General,,110,320,900,2530,17500,47430,78100,90000,157000,425410,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Intestinal,,70,320,970,2380,15330,46370,73200,87520,153000,415700,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Liver,,180,400,800,5500,27500,45370,72500,92500,132000,478500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Lymph,,180,370,800,5250,13980,45430,72500,92500,351000,519340,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Pancreatic,,170,320,500,2750,17500,47300,75500,97500,151070,451040,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Flukes Pancreatic,,170,320,850,2750,17500,47300,75500,97500,151070,451040,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Flukes Sheep Liver,,150,380,930,2520,31200,43430,68500,98500,149280,496010,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Follicular Mange,Hair Skin,253,693,701,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Follicular Mange,,520,680,970,2500,27500,35910,95430,375370,533630,653690,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Gastrothylax Elongatus,,20,240,750,930,2500,15440,42500,93500,342060,475430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites General 1,,4412,2112,1862,1550,800,732,728,712,688,676,644,422,128,120,,,,,,,,,,,,,,,,,,CAFL
Parasites General 2,,10000,3176,1998,1865,1840,880,800,780,770,740,728,727,690,665,660,465,444,440,125,120,95,80,72,47,,,,,,,,CAFL
Parasites General 4,,187,294,387,453,562,697,752,772,844,947,1113,3437,,,,,,,,,,,,,,,,,,,,CUST
Parasites General Alternative V,,102,172,344,411,422,524,591,604,605,633,732,741,749,827,829,854,942,967,1522,4122,,,,,,,,,,,,CAFL
Parasites General Comprehensive,,20,64,72,96,112,120,125,128,152,240,334,422,442,465,524,644,651,688,712,728,732,800,854,880,1550,1864,2112,2400,2720,4412,5000,CAFL
Parasites General Comprehensive,,160,300,680,900,2500,5500,13930,93500,356720,451170,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites General Flukes,Pancreas Liver Intestines,142,275,435,524,651,676,763,830,846,854,945,1850,2000,2003,2008,2013,2082,2150,6578,6641,6672,6766,,,,,,,,,,CAFL
Parasites General,,20,64,72,96,112,120,152,651,732,1360,2720,10000,,,,,,,,,,,,,,,,,,,,CAFL
Parasites General,,410,600,850,5170,22500,57500,322060,475430,575440,627000,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Giardia Lamblia Type 2,,40,320,650,900,5870,7500,37500,421400,426300,424000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Giardia Lamblia,,10,320,650,900,5870,7500,37500,150000,375430,519340,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Giardia,Intestines,334,4334,5429,829,812,2018,407,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Giardia,,50,120,900,5500,27500,15410,45000,62500,92500,491230,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Giardia,,50,120,900,5500,27500,15410,45000,421400,426300,424000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Gyrodactylus,,160,300,570,850,12330,2750,20000,150000,326070,479500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Haemonchus Contortus,,30,120,800,2500,15410,27500,40000,67500,104500,497500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Heartworms,Lung,543,2322,200,535,1077,799,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Heartworms,,130,220,930,5500,17500,32500,52500,70000,92500,122530,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Helminthosporium,Skin,793,969,164,5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Helminthosporium,,40,320,650,900,5750,7500,37500,150000,375410,496010,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Hookworm,Intestines,6.8,440,2008,6436,5868,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Hookworm,,160,300,570,950,2500,5500,20000,150000,319340,478500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Intestinal Flukes,Intestines,524,651,676,844,848,2008,2084,2128,2150,6766,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Leishmania Braziliensis,Skin,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Leishmania Braziliensis,,50,460,950,7500,32500,50000,67500,125430,275910,453720,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Leishmania Donovan,Skin Liver Spleen,525,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Leishmania Donovani,,50,230,900,7500,32500,50000,67500,150000,275430,524370,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Leishmania Mexicana,,50,550,950,7500,32500,50000,67500,150000,269710,536420,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Leishmania Tropica,,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Leishmania Tropica,,50,120,800,7500,32500,50000,67500,150000,275000,519340,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Liver Flukes,Liver,143,238,275,676,763,6641,6672,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Lymph Flukes,Lymph,157,10050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Macracanthorhynchus,,120,230,600,2500,10890,2750,30000,122530,210500,455820,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Metagonimus Yokogawai,,70,120,680,950,2500,7500,27500,92500,275430,526070,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Nematode,,70,120,680,950,2500,7500,27500,92500,269710,497610,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Pancreatic Flukes,Pancreas,1850,2000,2003,2008,2013,2050,2080,6578,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Pancreatic Flukes,,70,520,750,970,2500,12330,22500,65430,322060,475430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Paragonimus Westermanil,,120,230,600,2750,5430,2500,32500,126070,210500,519340,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Passalurus Ambiguus,,130,400,600,950,5170,7250,20000,90000,175440,478500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Ropeworm,,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Parasites Roundworm General,Intestines,20,104,112,120,128,152,240,332,422,543,650,688,721,732,772,827,835,942,2720,3212,4152,4412,5897,7159,,,,,,,,CAFL
Parasites Roundworms,,60,520,620,930,2500,15440,42500,100000,376290,450000,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Scabies,Skin,90,94,98,102,106,110,253,693=600,920,1436,2871,5742,90-110=1800,,,,,,,,,,,,,,,,,,,CAFL
Parasites Scabies,,70,120,800,5500,15000,27500,510200,667500,890520,907500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Schistosoma Haematobium,Bladder,847,867,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Schistosoma Haematobium,,170,550,950,5250,25000,37500,162500,397500,536420,702530,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Schistosoma Haematobium,,180,240,600,870,2250,27500,55440,181210,325830,625430,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Schistosoma Mansoni,Intestines,329,9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Schistosoma Mansoni,,370,950,2750,3000,72500,96500,375430,175440,375910,598220,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Sheep Liver Flukes,Liver,826,830,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Streptococcus Pneumoniae,,680,900,2500,5500,13930,93500,386400,366850,370200,368000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Strongyloides Secondary,,380,698,722,738,746,752,776,1113,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Strongyloides,Intestines,332,422,721,732,749,942,3212,4412,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Taenia,Intestines,164,187,453,523,542,623,803,843,854,1223,3032,5522,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Tapeworms Echinococcinum,Intestines,164,453,542,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Tapeworms Echinococcinum,,100,250,680,5870,2500,7500,96500,215700,475000,527000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Tapeworms Secondary,Intestines,142,187,624,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Tapeworms,Intestines,164,453,523,542,623,843,854,1223,803,3032,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Tapeworms,,100,250,680,5750,2750,7500,96500,226070,475440,527000,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Threadworm,Intestines,332,422,721,732,749,942,3212,4412,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Threadworm,,680,900,2500,5500,13930,93500,386400,398400,402000,400000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Trichinella Spiralis,,1002.65,20138.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Trichinosis,Intestines,101,541,822,1054,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Trichinosis,,20,350,750,930,5750,7500,45440,93500,225910,453720,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trichomonas Vaginalis,,40,320,730,970,10530,15000,85430,210500,451170,515440,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trichuris,,50,120,750,800,5170,17500,67500,222530,225910,454370,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trypanosoma Brucei,,130,570,850,55250,67500,122290,182500,291320,350000,519340,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trypanosoma Cruzi Brain Tissue,,11525.7,1147.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Trypanosoma Equiperdum,,130,570,850,5750,7500,20000,52500,90000,358570,475440,,,,,,,,,,,,,,,,,,,,,,KHZ
