Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Abbreviations
Fibroid Cysts Breast,,267,660,690,727.5,776,787,802,880,1384,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroids General,Uterus,267,465,666,690,727,776,787,802,880,1384,1488,1550,1744,2008,2127,2128,2189,2950,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibroma 1,,272,273,465,660,690,727.5,802,1550,2008,2127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroma 2,,465,660,690,727.5,802,1550,2008,2127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroma 3,,465,666,690,727,802,1550,2008,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroma Secondary,,465,802,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroma,,2127,2008,727,690,666,1550,802,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibromatosis Aggressive,,50,230,950,13390,121590,285430,315910,472500,612500,930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibromatosis Juvenile Hyaline,,50,230,950,10530,32510,62480,145440,372500,522500,792300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibromuscular Dysplasia,,20,520,750,2750,5250,47500,275000,424370,560000,815960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibromyalgia 1,,120,140,304,464,728,800,880,2489,3176,5000,6000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibromyalgia 2,,2008,2050,2080,2127,880,800,787,728,600,420,320,120,3790,3792,3794,3796,3798,3800,3802,3804,3806,3808,3810,,,,,,,,,,,,,,,,,,,CAFL
Fibromyalgia 2,,28,95,240,522,600,625,650,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibromyalgia 3,,120,140,304,464,728,800,880,2489,3176,5000,6000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibromyalgia 4,,328,2720=1800,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibromyalgia 5,,120,320,420,600,728,787,800,880,2008,2050,2080,2127,3790,3792,3794,3796,3798,3800,3802,3804,3806,3808,3810,,,,,,,,,,,,,,,,,,,XTRA
Fibromyalgia,Nerve,328,880,800,728,5000,2720,2180,2128,664,464,304,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibromyalgia,,40=720,490,780,7500,118000,215430,362510,422060,608410,751200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibromyalgia,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibropendulum,,661,7465,211,233,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibrosarcoma,,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fibrosarcoma,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibrosis of Lung,Lung,27.5,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Fibrosis,,80,550,570,7500,8000,12690,140000,363020,492530,912480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibrous Dysplasia of Bone,,130,570,780,900,2250,144900,323720,602530,918280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibrous Dysplasia Polyostotic,,200,460,600,2250,12850,144900,323720,602530,918280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fifth Disease,,809,1618,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Filariasis,,190,180,730,7500,68000,115440,322500,545430,612370,779930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Filariose,,112,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fischoedrius Elongatus,,441750-443200=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Fischoedrius Elongatus,,1094.99,1095.6,1098.57,13804.69,13812.5,13850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fischpyrogen,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fissures,Anus,787,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fissures,,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fistula Dentalis 1,,550,660,690,727.5,844,878,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fistula Dentalis,,550,727,844,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fistula Dentalis,,550,844,786,727,878,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fistula Ulcer,,880,832,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fistula,,130,250,620,5750,17250,37300,129560,345430,415700,682020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fistula,,660,690,727.5,787,832,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
FIV,,262,323,372,404,567,712,742,760,773,916,1103,1132,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
FIV,Cats,262,323,372,404,567,712,742,760,773,916,1103,1132,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
FIV,,262,323,372,567,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Flashes Hot,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Flatulence 1,,20,422,465,660,676,690,727.5,760,787,802,832,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Flatulence,,1550,880,832,802,787,727,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fleas,,2374,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Floaters,,130,350,850,5430,17500,42500,236420,478500,527000,667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Floppy Mitral Valve,,40,240,49710,132850,235510,321510,405620,592520,654320,779500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Flu 2,,20,304,440,464,727,728,787,800,885,1234,1500,1550,2008,3672,5000,7344,7760,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Flu 1978,,844,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Flu 1979,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Flu 1983,,730,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Flu Grippe Influenza,,727,787,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Flu Spanish,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Flu Triple Nosode,,421,632,1242,1422,1922,3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Flu Virus A,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Flu Virus B Hong Kong,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Flu Virus B,,530,532,536,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Flu Virus British,,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Flu Virus,,88,728,800,2050,2180,2452,7760,8000,8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Flu,,20,727,787,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fluid in Joints and Tissues,,15,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fluid Retention,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fluke Intestinal,,15,55,524,651,676,844,848,854,2000,2084,2128,2150,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Flukes,,143,275,435,524,651,676,763,854,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Flukeworm,,524,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fluor Alb,,110,342,420,423,688,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fluor Alb,,420,423,424,2222,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Fluorine f,,2.62,158.87,11484.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Follicular Mange,Hair,253,693,701,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Follicular Mange,,693,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Folliculitis Hot Tub,Hair,174,482,5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Food Poisoning 1,,59,92,165,420,643,664,707,711,717,719,752,947.62,954.32,956.79,958.15,972,1244,1522,6787,7771,11946.87,12031.25,12062.5,12079.69,19168.02,19217.81,,,,,,,,,,,,,,,,XTRA
Food Poisoning 2,,546,693,754,762,773,947.62,954.32,956.79,958.15,1634,8656,11946.87,12031.25,12062.5,12079.69,19168.02,19217.81,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Food Poisoning 4,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Food Poisoning Distilled Water,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Food Poisoning,,1552,802,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Food Poisoning,,120,230,830,5500,12710,83930,192500,475440,624370,882450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Foot and Mouth Disease,,232,237,558.37,585.91,1116.75,1171.83,1214,1243,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Foot and Mouth Syndrome,,232,237,1214,1243,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Foot and Mouth,,232,237,1214,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Foot Blisters,,465,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Forgiveness,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Formal Concepts,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fournier Gangrene,,80,550,570,7500,18000,121090,242900,360000,596500,975430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fracture Healing,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fractures Bone,Bone,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Fractures Bone,,130,570,780,930,32500,217500,552710,743010,815910,913520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fractures Bone,,220,230,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fractures Healing,,220,230,10000,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fragile X Syndrome,,230,620,950,7500,5500,33980,145430,295300,375430,522530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Franciselila Tularensis,,323,324,427,694,823,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Freedom,,144.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Freeman-Sheldon Syndrome,,190,520,680,800,2500,5170,15000,42500,92500,325430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Freiberg's Disease,,170,520,730,950,2250,17500,35910,72500,90000,275370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Frequency Fatigue 1,,7.83,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frequency Fatigue 2,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frequency Fatigue,,10.55,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Friedreich Ataxia,,160,490,730,950,5260,7250,12710,92500,275000,425430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Frigidity Female,,10000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL 
Frigidity,,1.1,9.39,9.4,20,72,73,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frigidity,,120,580,38000,53770,202000,390610,502360,581260,638190,708920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frostbite 1,,727,787,880,5000=420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frostbite 2,,660,690,727.5,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Frostbite,,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Frozen Shoulder,,10000,880,802,787,766,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fruitfly,,2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fucosidosis,,50,240,680,950,2500,7500,32500,96500,275470,522530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Functional Disturbances,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungal and Yeast Infection,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungal Infection,,20,465,727,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungal Infections,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungus Adams,,943,2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungus and Mold 2,,132,254,321,337,344,374,414,464,524,555,728,743,766,784,866,880,886,942,1823,2411,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungus and Mold,,4442,2411,1833,1823,1333,1155,1130,1016,942,933,886,880,866,784,774,766,745,743,728,623,623,594,592,565,555,524,512,464,414,374,344,337,321,254,242,222,158,132,,,,CAFL
Fungus Black Nail,,612,644,766,1000,190,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Fungus EW Range,,823,824,825,826,827,828,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fungus Flora 1,,331,336,555,587,632,688,757,882,884,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fungus Flora,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Fungus Foot and General 1,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fungus General,,2222,1552,1550,1153,1134,1016,880,802,787,784,727,582,465,422,254,72,20,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fungus Katys Foot,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fungus Suttons Bar,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Funnel Chest,,130,230,730,800,5250,7250,35370,95910,215500,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Furunculosis Herpes 2,,200,802,1000,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Furunculosis Herpes,,200,1000,1550,802,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Furunculosis Herpes,,20,116,200,465,660,690,802,1000,1550,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Furunculosis Secondary,,727,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Furunculosis,Skin,880,1550,802,787,727,465,660,20,116,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Furunculosis,,200,460,600,2250,12850,27500,42500,96500,236420,455210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fusarium General 2,,600,625,650,746,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fusarium General,,768,625,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fusarium Oxysporum,,102,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Fusarium Oxysporum,Eyes,102,332,705,795,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fusarium Oxysporum,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Fusobacterium Infections,,190,180,750,9000,11090,22500,47500,115700,377910,470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fusobacterium Infections,,190,180,750,9000,11090,22500,47500,115700,377910,470120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gaetner,,519,577,767,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gaffkya Tetragena 1,,854.79,867.55,873.75,11015.62,21553.13,21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gaffkya Tetragena 2,,867.55,17425.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gaffkya Tetragena,,344850-352500=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Gait Disorders Neurologic,,130,250,620,10890,2750,25260,125370,245470,393500,505100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Galactosemias,,110,240,650,830,2500,127500,255470,387500,696500,825910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gall Bladder Dystonia With Osteitis,Gallbladder,2.65,3000,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gallbladder 1,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gallbladder 2,,164.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gallbladder Diseases,,120,550,950,5370,22500,42500,162500,292500,442200,524370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gallbladder Inflammation,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Gallbladder Inflammation,Gallbladder,432,801,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gallbladder Pain,Gallbladder,800,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gallbladder,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gallium,,11350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gallstone Attack,,481,743,865,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Gallstones 1,,2.64,20,30.5,444,660,690,727.5,787,800,880,1552,1865,3000,600010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gallstones,Gallbladder,2.65,3.5,3000,1552,800,880,787,727,20,6000,10000,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gamma Brainwave Frequency,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ganglionitis,,574,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gangrene General,,880,787,727,20,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gangrene,,70,500,950,7500,13520,132500,342500,490000,696500,796500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gangrene,,20,73,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella 1,,320,329,485,695,782,995,16927.59,20812.5=1200,21250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella 2,,320,329,485,695,782,825.41,842.77,849.1,995,16927.59,20812.5,21250,21409.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella Vaginalis 1,,842.77,16927.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella Vaginalis 2,,825.41,842.77,849.1,20812.5,21250,21409.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella Vaginalis 3,,320,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gardnerella Vaginalis,,333000-342550=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Gardnerella,,320,695,782,995,329,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gardnerella,,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Gardnerella,,320,329,485,695,782,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gasoden,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gasser's Syndrome,,50,180,4820,65000,110250,332410,517500,684810,712230,992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gastric Gouty Ulcers,,727,776,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gastric Stomach and Colon,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gastritis and Flatus 2,,20,727,787,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gastritis and Flatus,Stomach,880,832,802,787,727,676,422,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gastritis Hypertrophic,,100,500,680,10090,14280,17500,237500,517500,696500,816500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
