Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations,
E Coli 1,,332.5,798,1729,7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
E Coli, Intestines,7849,7847,1730,1722,1550,1320,1244,1000,957,934,856,840,832,804,802,799,776,642,634,556,548,413,333,330,327,289,282,,,,,,,,,,,,,,,,,,,,,,,CAFL,
E Coli 3,,802,882.44,974.14,17724.2,19566.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
E Coli 4,,282,298,327,333,413,548,642,660,690,727.5,787,799,800,802,804,832,880,957,1320,1550,1552,1722,2872,7849,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
E Coli Escherichia Coli,,282,289,327,332,358,413,539,548,642,798,799,800,802,804,832,834,882.44,957,971.66,974.14,1320,1550,1722,1729,7847,7849,11125,12250,12281.25,17724.2,19566.31,,,,,,,,,,,,,,,,,,,XTRA,
E Coli Mutant Strain,,556,934,1242,1244,1703,632,634,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
E Coli,,282,333,413,957,1320,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Ear Conditions Various 2,Ear,9.18,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ear Conditions Various,Ear,10000,880,787,727,776,766,688,683,652,645,542,535,440,410,340,201,158,20,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ear Discharge,Ear,9.18,9.19,20660,690,727.5,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ear Diseases,Ear,550,900,5150,55340,151090,387500,452500,621810,870530,921020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ear Fungus,Ear,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ear General Conditions,Ear,9.19,9.2,20,158,201,340,410,440,535,542,645,652,660,683,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ear Wax,Ear,311,320,750,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Earaches,Ear,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ears Balance,Ear,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ears Discharges,Ear,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ears Dizziness,Ear,20,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ears Ringing,Ear,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Ears,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Earth Resonance,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Easily Depressed,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Easily Fatigued,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eating Disorders,,140,220,620,58250,215500,442010,537500,617500,869710,975340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ebola 1,,30,1200,15200,35000,22500,25665,4000,36827,38660,37357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ebola 2,,2890,5950,27875,30000,38567,25000,23110,35200,27747,37998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ebola Hemorrhagic Fever,,169,234,239,244,479,957,1195,1914,3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ebola Virus,,169,234,239,244,479,957,1195,1914,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ebstein Anomaly,,260,650,11090,5710,42500,65830,92500,234250,452590,815870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
EBV 1,,105,172,253,274,380,660,663,667,669,738,825,1013,1920,6618,8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
EBV 2,,929.52,941.92,18670.15,18919.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
EBV 3,,660,663,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
EBV Infections,,70,520,700,930,372500,375000,380000,382850,519340,791280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
EBV Secondary,,465,727,744,776,778,787,880,1032,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
EBV,,105,172,253,274,380,660,663,667,669,738,825,1013,1920,6618,8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
EBV,,660,663,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Ecchymosis,,110,550,800,23500,117500,252500,462500,596500,797500,975340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Echinococcinum 2,,164,453,542,623,5522=900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinococcinum,,164,453,542,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Echinococcinum,,453,164,623,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Echinococcosis,,120,550,5850,81500,127550,241520,471500,625300,853000,915090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Echinococcus Granulosus 1,,1093.5,1106.75,13785.94,13953.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinococcus Granulosus 2,,142,164,187,333,453,522,523,542,562,624,662,663,768,786,803,843,854,1223,1360,3032,5122,5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinococcus Granulosus 3,,1119.4,1143.94,14112.5,14421.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinococcus Granulosus Larval,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinococcus Multilocularis,,1129.94,1136.14,14245.3,14323.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinoporyphium Recurvatum,,418550-423900=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Echinoporyphium Recurvatum,,1037.48,1043.54,1050.74,13079.69,13156.25,13246.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echinostoma Revolutum,,425500-429650=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Echinostoma Revolutum,,1054.71,1060,91,1065,13296.87,13375,13426.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echo Virus (Endometriosis Tuberylosa),,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Echo Virus Meningitis,,461,514,603,604,605,606,607,608,609,610,611,612,613,614,620,625,722,765,788,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Echo Virus,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Echo Virus,,922,788,765,722,625,620,614,613,612,611,610,609,608,607,606,605,604,603,514,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eclampsia,,30,500,850,5710,7250,13980,247500,450000,695830,895870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ecthyma Contagious,,150,830,7620,67920,197500,212850,405000,527500,716500,871200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ectodermal Dysplasia,,130,520,830,8500,12530,145830,262500,397500,633910,825170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ectoparasitic Infestations,,110,1490,32570,102250,212500,432500,672500,735340,893500,930100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ectropion,,120,350,950,7500,127500,247500,465000,596500,655720,875340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eczema 1,Skin,770,916,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema 2,Skin,9.18,9.19,9.39,9.4,20,120,415,660,664,690,707,727.5,770,787,802,916,1550,2127.5,2180,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Eczema 2,Skin,730.2,1550,802,787,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema 3,Skin,415,770,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eczema Skin Trouble,Skin,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema Vascular and Lung Disturbances,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema Vascular and Lung,,9.19,727,787,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema Vascular and Lung,,9.18,9.39,727,787,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eczema,Skin,9.19,707,1550,802,787,727,10000,5000,2720,2008,2180,2128,664,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eczema,Skin,80,410,9800,87500,202500,345000,607500,725830,850000,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Edema 1,Heart,6.3,148,440,444,465,522,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Edema 1,,6.29,20,24.3,146,148,440,444,465,522,660,690,727.5,787,880,1865,3000,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Edema 2,,6.3,20,40,146,148,440,444,465,522,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Edema and Swelling,,6.3,20,146,148,440,444,465,522,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Edema Swelling,,6.3,20,440,444,465,522,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Edema,,70,230,8970,77500,132500,232500,431870,602530,775300,852720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eggs of Worms,,164,793,969,5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ehlers-Danlos Syndrome,,150,180,930,2750,125340,246200,405000,731500,826500,921340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ehrlichia 3,,76,308,375,468,521.2,570,788,862,943,1583,1584,2084.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ehrlichia 4,,129,521.2,523,549,607,632,720,726,943,1062,1357,2084.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ehrlichia 5,,7989,4880,4870,1590,1455,4996.9,5054.9,884,846,797,758,693,673,579,578,577,422,417,239,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ehrlichia Chaffeensis,,300,336.39,382.19,394.69,528.39,672.7,749.2,764.39,918,1200,1317.2,1345.4,1364.9,1369.79,1836,14980.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV,
Ehrlichia Equi,,1.19,250,295,349,354.19,406,469.69,590,637.89,698,939.29,1180,1223.4,1416.9,1878.7,2833.9,3248.3,3757.3,7080.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV,
Ehrlichia Lyme,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Ehrlichiosis,,80,120,850,58870,224030,410200,585830,626070,725340,826900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eisenmenger Complex,,20,240,700,870,2500,17500,75340,197500,315700,419340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Elbow Pain 1,,1.19,26,160,250,2720,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Elbow Pain 2,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Electrical Sensitivity Reduce,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Electrolyte Levels,,8.1,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Electron Transport Chain Def,,160,350,930,2500,215610,355680,419340,651100,723030,868430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Electrosmog,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Elephantiasis 2,,112,120,623,710,824,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Elephantiasis,Skin,623,824,865,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Elkanella Corroderis 1,,940.69,946.87,952.58,11859.37,11937.5,12009.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Elkanella Corroderis 2,,946.87,19018.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Elkanella Corroderis,,379500-384300=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Embolism Cholesterol,,50,570,920,2530,12340,53020,78300,158300,257020,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Embryopathies,,90,370,910,128500,236500,302270,491610,651020,708570,879210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emesis,,190,4210,68500,97500,202770,478000,592580,604130,712230,892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotion Abnormal Behaviour,,664,764,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Emotional Acceptance 1,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Acceptance 2,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Balance 1,,15,644,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Balance 2,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Impulse,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Patterns Break,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Patterns Release,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Spectrum,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotional Ties to Diseases,,764,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Emotional Trauma Balance,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotions and Sleep 1,,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotions and Sleep 2,,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotions and Sleep 3,,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotions General Aid,,4.9,20,72,95,125,146,428,522,802,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emotions,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emphysema 2,,20,75.09,80,120,128,150.3,240,300.5,422,601,650,660,683,688,709.2,727,766,777,787,880,975,1234,2404.19,2688,2838.5,3672,7344,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emphysema Pulmonary,,550,410,620,1970,7500,15930,67500,209310,345690,502510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Emphysema,Lung,1234,3672,7344,880,787,727,120,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Empty Sella Syndrome,,120,9550,55850,102500,192500,247500,472500,525370,650000,974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Empyema Pleural,,110,550,800,5150,151340,252500,562500,696500,797500,822530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encephalitis Arbovirus,,150,230,600,950,7500,150890,455340,527500,896500,917200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encephalitis Herpes Simplex,,50,970,5830,7500,12330,113230,425000,571000,865830,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encephalitis,Brain,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Encephalitis,,30,500,830,5710,79300,192500,467500,652200,802510,912520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encephalocele,,130,570,780,970,2500,87500,323980,665700,822700,906070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encephalomyelitis,,80,460,3290,7500,117500,327500,452500,662020,896500,981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Enchondromatosis,,150,180,870,15830,23210,212530,247580,465340,695020,792510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Encopresis,,550,570,830,7500,10890,40000,119340,275340,425830,571000,868000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
End Stage Renal Disease,,130,180,650,970,7500,11950,40000,150000,524940,689930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endocarditis Bacterial,,130,570,780,12270,68290,135250,272720,425530,733910,836420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Endocarditis,,333,377,471,523,626,628,634,714,724,744,768,786,2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endocrine Cancer,,140,460,750,2090,32500,47500,117500,396500,655720,825540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Endocrine Diseases,,280,620,810,2100,33000,47500,117500,396500,655720,825540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endocrine RX,,635,645,662,763,1335,1342,1351,1413,1534,1725,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endocrine System Balance,,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endocrine System Function Normalize,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endodontics,,20,120,950,13390,22500,51300,261020,491510,619340,875350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Endolimax Nana Trophozoites and Cysts 2nd,,430500-433350=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Endolimax Nana Trophozoites and Cysts,,394250-397100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Endolimax Nana Trophozoites Cysts 1,,981.59,1070.81,19715.68,21508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endolimax Nana Trophozoites Cysts 2,,1067.09,1070.81,1074.17,13453.12,13500,13542.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endolimax Nana Trophozoites Cysts 3,,977.25,981.59,984.3,12320.3,12375,12409.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endometrial Cancer,,70,180,600,14970,135710,255500,421020,693500,775540,878500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Endometrioma,,30,250,730,12850,7500,35510,62580,434350,672910,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endometriosis 1,Uterus,142,246,275,284=300,438,524,651,676,763,800,830,846,854,945,1550=300,1850,2000,2003,2008,2013,2082,2128,2150,6578,6641,6672,6766,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Endometriosis 2,,246,800,802,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endometriosis Chronic,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Endometriosis Chronic,Uterus,246,800,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Endometriosis Tuberylosa,,461,514,620,625,722,765,722,765,788,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Endometriosis Tuberylosa,,461,514,603,604,605,606,607,608,609,610,611,612,613,614,620,625,722,765,788,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endometriosis,,30,250,730,12850,7500,35510,62580,125350,672910,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
