Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Abbreviations
Rheumatic Fever,,333,523,768,786,376,952,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rheumaticus,,333,376,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rheumaticus,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rheumaticus,,333,376,820,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rheumatism,,10000,776,766,262,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rheumatoid Arthritis,Joints,2.4,250,262,600,625,650,727,776,787,,,,,,,,,,,,,,,,,,,,CAFL
Rhinitis,,20,120,1550,802,1500,880,787,727,465,522,146,,,,,,,,,,,,,,,,,,CAFL
Rhinitis,,20,520,750,830,112500,217500,345750,497500,775280,825000,,,,,,,,,,,,,,,,,,,KHZ
Rhinopneumonitis,,185,367,820,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rhinopneumonitis,Respiratory,185,367,820,487,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rhinopneumonitis,,185,367,820,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rhinoscleroma,,80,240,630,7820,32250,67500,155290,391020,415700,726070,,,,,,,,,,,,,,,,,,,KHZ
Rhizobium Meliloti,,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Rhizopus Nigricans,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rhizopus Nigricans,Respiratory,132,327,775,659,660,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rhizopus Nigricans,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rhodium 85rb,,205.53,221.56,18857.41,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rhodium 87rb,,696.52,750.87,15977.04,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rhodium rh,,67.51,72.79,12390.62,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rhodo Torula,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rhodo Torula,,833,598,778,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rhodo Torula,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rhodococcus,,124,835,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rhodococcus,,124,835,432,764,337,682,720,,,,,,,,,,,,,,,,,,,,,,CAFL
Rhodococcus,,124,835,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rickets 1,,129,521,523,549,607,632,720,726,943,1062,1357,2084,,,,,,,,,,,,,,,,,XTRA
Rickets Vitamin D and Sunlight,,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rickets,,70,460,1560,5950,17500,127500,250000,465750,696500,819340,,,,,,,,,,,,,,,,,,,KHZ
Rickettsia 1,,129,521,523,549,607,632,720,726,943,1062,1357,2084.8,,,,,,,,,,,,,,,,,XTRA
Rickettsia 2,,129,521.2,549,632,720,726,943,1062,2084.8,2085,,,,,,,,,,,,,,,,,,,XTRA
Rickettsia 3,,129,632,943,1062=300,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rickettsia 4,,129,943,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rickettsia Infections,,130,180,830,5250,127500,212500,335280,560000,695950,997500,,,,,,,,,,,,,,,,,,,KHZ
Rickettsia Rickettsii 1,,76,308,375,468,521.2,570,788,862,943,1583,1584,2084.8,,,,,,,,,,,,,,,,,XTRA
Rickettsia Rickettsii 2,,129,549,632,720,726,1062,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rickettsia Rickettsii 3,,128,239,417,422,577,578,579,673,693,758,797,846,1455,1590,4870,4880,4996.89,5054.98,7989,,,,,,,,,,XTRA
Rickettsia,,129,632,943,1062,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rickettsia,,129,943,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rift Valley Fever,,40,120,950,14030,118520,251290,365280,590000,722700,977500,,,,,,,,,,,,,,,,,,,KHZ
Ringworm,Skin,422,442,732,5000,60,76,92,120,128,440,800,,,,,,,,,,,,,,,,,,CAFL
Rita Livingston,,636,700,832,3734,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
RNA Integrity Stimulate,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
RNA Virus Infections,,70,880,9710,68830,102850,205280,312500,492500,675950,823370,,,,,,,,,,,,,,,,,,,KHZ
Roaches,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Robinow Syndrome,,130,910,14930,87500,117600,315750,435280,571500,796500,825000,,,,,,,,,,,,,,,,,,,KHZ
Rocky Mountain Spotted Fever 2,,375,862,943,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rocky Mountain Spotted Fever and Lyme V,,128,239,417,422,577,578,579,673,693,758,797,846,884,1455,1590,4870,4880,7989,39975,40439,,,,,,,,,CAFL
Rocky Mountain Spotted Fever,,375,862,943,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rocky Mountain Spotted Fever,,375,862,943,788,468,308,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rocky Mountain Spotted Fever,,70,520,7570,33800,282750,405750,523880,667500,825280,915700,,,,,,,,,,,,,,,,,,,KHZ
Rocky Mountain Spotted Fever,,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Romberg Disease,,90,320,950,3110,25000,45000,95000,100500,215790,414000,536500,,,,,,,,,,,,,,,,,,XTRA
Rosacea,,20,520,730,830,2500,217500,545280,697500,775750,875280,,,,,,,,,,,,,,,,,,,KHZ
Rose,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rotifer,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rotifer,,1151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Round Worms,,240,650,688,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Round Worms,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Roundworm,,20,104,112,120,128,240,332,422,543,650,688,721,732,772,827,942,3212,452,4412,5897,7159,,,,,,,,CAFL
Royer Syndrome,,180,410,5670,10090,22120,98180,122310,224070,355900,451110,,,,,,,,,,,,,,,,,,,XTRA
Rubella Vaccine,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rubella,,431,510,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rubella,,431,459,510,517,727,787,880,,,,,,,,,,,,,,,,,,,,,,CAFL
Rubella,,70,240,600,7220,132250,427500,555950,690000,875000,936420,,,,,,,,,,,,,,,,,,,KHZ
Rubella,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rubeola Vaccine,,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rubeola,,342,467,520,1489,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rubeola,,342,467,520,784,787,962,1489,,,,,,,,,,,,,,,,,,,,,,CAFL
Rubidium 85rb,,205.53,221.56,18857.41,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rubidium 87rb,,696.52,750.87,15977.04,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rubidium,,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Rubinstein-Taybi Syndrome,,70,150,3500,67110,81500,109500,112020,384070,471000,551000,,,,,,,,,,,,,,,,,,,XTRA
Ruko Tick,,6634,285,308,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Runny Nose (Rhinitis),,5,189,912,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Russell Silver S Syndrome,,410,730,7870,27500,227500,367500,525280,615700,745010,933000,27000,,,,,,,,,,,,,,,,,,KHZ
Sacral, Zinc Etc,,32,64,128,147,210.42,256,272,303,324,337,384,400,440,448,480,537,586,635,999,1444=1200,1351,1413,1534,1550,,,,ALT
Sacroiliac Joint Dysfunction,,110,240,570,38830,222720,317500,431200,572500,695670,905620,,,,,,,,,,,,,,,,,,,CUST
Salivary Gland Diseases,,410,730,870,7500,230000,367500,525750,619340,896010,982450,,,,,,,,,,,,,,,,,,,KHZ
Salivary Gland Virus,,126,597,1045,2145,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Salmonella B,,546,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Salmonella Comp,,59,92,165,420,546,643,664,693,707,711,713.3,717,718.2,719,752,754,762,773,972,1244,1522,1634,6787,7771,8656,,,,CAFL
Salmonella Enteriditis 1,,815.5,20562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Enteriditis 2,,760,815.5,16379.95,20562.5,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Enteriditis 3,,815.5,16379.95,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Enteriditis Gut,,180,570,1850,7500,329000,354000,386000,380000,575280,724370,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Enteriditis,,329000-329000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Salmonella Infections,,180,570,1850,7500,30000,142500,272500,495950,575280,724370,,,,,,,,,,,,,,,,,,,KHZ
Salmonella Infections,,180,570,1850,7500,329000,382300,386550,355000,386000,390000,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Paratyphi 1,,776,904.87,912.17,917.38,11407.8,11500,11565.62,18321.63,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Paratyphi 2,,904.87,912.17,917.38,11407.8,11500,11656.62,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Paratyphi B,,59,92,643,707,717,719,752,972,7771,1244,6787,165,711,,,,,,,,,,,,,,,,CAFL
Salmonella Paratyphi B,,717,643,972,707,59,92,7771,,,,,,,,,,,,,,,,,,,,,,VEGA
Salmonella Paratyphi,,365050-370100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Salmonella Paratyphi,,180,570,1850,7500,329000,365050,370100,368000,385000,724370,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Type B,,546,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Salmonella Typhi 1,,660,690,712,714,727.5,802,804,824,1550,1770,1800,1862,1865,3205,11289.05,11875,,,,,,,,,,,,,XTRA
Salmonella Typhi 2,,420,664,773,8656,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Typhi,,420,664,8656,773,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Salmonella Typhimurium 1,,947.62,956.79,958.15,11946.87,12062.5,12079.69,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Typhimurium 2,,954.32,956.79,19168.02,19217.81,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Typhimurium 3,,693,754,762,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Typhimurium Nervousness,,947.62,954.32,958.15,11946.87,12031.25,12079.69,,,,,,,,,,,,,,,,,,,,,,,XTRA
Salmonella Typhimurium_1,,382300-386550=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Salmonella Typhimurium_2,,386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Salmonella Typhimurium,,693,754,762,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Salmonella,,713.3,718.2,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Salmonella,,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Salpingitis,,170,550,950,75000,125280,237500,362500,597500,775950,915700,,,,,,,,,,,,,,,,,,,KHZ
Samter's Syndrome,,180,570,1000,5250,27500,72500,172500,395750,575280,760000,,,,,,,,,,,,,,,,,,,KHZ
Sandhoff Disease,,170,550,950,5150,13980,137500,362500,697500,775000,922530,,,,,,,,,,,,,,,,,,,KHZ
Sanguinera,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sanguis Menstrualis,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Sarcocystis 1,,14079.69,14217.19,14125,1116.79,1127.71,1120.4,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sarcocystis 2,,11251.87,1120.4,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sarcocystis,,450550-454950=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sarcoidosis Pulmonary,,80,350,37500,115700,322060,325270,175000,475190,527000,834500,,,,,,,,,,,,,,,,,,,KHZ
Sarcoidosis,Lungs Lymph,2167,2967,3289,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sarcoidosis,,70,500,37500,75560,325270,475270,527000,661710,742000,988900,,,,,,,,,,,,,,,,,,,KHZ
Sarcoma 2,,2008,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sarcoma Ewing's,,30,250,780,930,7500,95750,300000,454370,615190,784810,,,,,,,,,,,,,,,,,,,KHZ
Sarcoma Osteogenic,,40,240,730,7900,67220,127500,317500,665520,831330,913500,,,,,,,,,,,,,,,,,,,XTRA
Sarcoma,,10,370,870,2250,2500,70000,95270,269710,175270,350000,,,,,,,,,,,,,,,,,,,KHZ
Sarcoptes Scabiei Itch,,735000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sarcoptes Scabiei Itch,,11484.37,1821.88,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sars 1,Respiratory,162,563,1556,1559,2286,3735,5235,5513,5613,5763,6157,8015,9563,33566,255616,,,,,,,,,,,,,,CAFL
Sars 2,,499.25,524.47,563,597.68,648,654.4,689.14,701.6,720.36,769.62,779.5,937.76,998.5,1001.86,1048.94,1143,,,,,,,,,,,,,CAFL
Saturn - Collarbones, Vitality, Overall Balance, Stability,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Saturn - Frontal Lobes, Seventh Sense, Final Decision,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Saturn - Ovaries, Vitality, Life at Every Level,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Saturn,,147.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Scabies,Skin,90,110,253,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Scabies,,240,700,7500,10890,5500,142500,372500,490000,825270,919340,,,,,,,,,,,,,,,,,,,KHZ
Scandium 21,,517.05,557.4,11860.35,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Scarlet Fever,,437,880,787,727,690,666,,,,,,,,,,,,,,,,,,,,,,,CAFL
Scarlet Fever,,110,230,850,5150,15000,115270,240000,462500,750000,957300,,,,,,,,,,,,,,,,,,,KHZ
Scheuermann Disease,,50,460,900,2500,27500,132500,342500,485190,550000,825710,,,,,,,,,,,,,,,,,,,KHZ
Schistosoma Haematobium,,473000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Schistosoma Haematobium,,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Schistosoma Mansoni 1,,329,9889,1035.49,1087.17,1089.25,1238.74,1257.39,1261.5,1272.83,1350.21,1431.24,1564.68,1734.89,1799.56,1910.33,11031.25,,,,,,,,,,,,,XTRA
Schistosoma Mansoni,,353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Schistosoma Mansoni,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Schistosomiasis,,130,230,730,850,5250,137250,545750,687500,895270,976290,,,,,,,,,,,,,,,,,,,KHZ
Schizencephaly,,190,500,570,950,52300,112500,342500,567500,796500,825270,,,,,,,,,,,,,,,,,,,KHZ
Schizophrenia Paranoid 1,Mental,802,1500,1550,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Schizophrenia,,70,500,970,9000,12850,132500,337500,524370,758570,955720,,,,,,,,,,,,,,,,,,,KHZ
