Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Abbreviations
Cold and Flu,,13916.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Cold and Flu,,120,550,850,7500,12500,40000,120000,313350,320000,615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold Common,,120,550,850,7500,120000,315500,472500,725750,850000,975980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold Coughing,,727,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold Feet and Hands,,20,125,146,200,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold In Head Or Chest 1,,20,444,727,776,787,880,1550,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold In Head Or Chest 2,,20,333,444,727,766,776,787,802,880,1550,4412,7344,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold Or Flu Winter 2001,,959,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold Sores 2,,428,465,727,787,880,1500,1550,1800,1850,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold Sores 3,,470,647,648,650,652,654,656,658,660,847,5641,8650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold Sores 5,,723.79,856.4,14537.81,17201.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold Sores,,322,476,589,664,785,822,895,944,1043,1614,2062,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coli Rod,,8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coli Virus,,17220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colic 1,,10,20,422,465,660,690,727.5,787,802,832,1550,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colic Intestinal,,8,123,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colic Stomach and Colon Pain,,20,727,787,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colic,,1550,832,802,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Colic,,130,230,620,1000,7500,155980,396500,415700,575270,927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Colitis 2,,20,440,660,690,727.5,787,802,832,880,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colitis and Diarrhea 2,,152,344,433,454,465,621,727,787,880,1550,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colitis and Diarrhea,Colon,10000,5000,1550,880,832,802,787,727,621,465,454,440,433,344,152,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Colitis Mucous Catarrh of Colon,,20,727,787,800,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colitis Ulcerative,,130,250,730,5750,7500,55500,122500,442500,625710,875270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Colitis,Colon,440,802,832,880,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Collarbone,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Collectotrichum,,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Colloidal Gold Octal,,7205251195738,3602625597869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Gold Scalar,,7364246875738,366644262680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver and Gold Octal,,9088655073,7036378121,1173892841,908820264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver and Gold Scalar,,7364246875738,473582172629,366644262680,23578268006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver and Gold Sub-1MHz,,900656399467,581673924656,473582172629,366644262680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver and Gold Sub-10KHz,,72709240582,56291024967,23578268006,18254142973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver and Gold Sub-100KHz,,72709240582,56291024967,23578268006,18254142973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver Generate,,1000=1800,10000=1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver Octal,,4653391397248,2326695698624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Colloidal Silver Scalar,,473582172629,23578268006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Coloboma,,190,180,600,12190,25150,117000,395500,620000,745980,997500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Colon Ascending,,12207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colon Descending,,14160.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colon Function Balance,,8,440,635,880,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colon Function Normalize Stimulate,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Colon Problems General,Colon,20,440,880,1552,802,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Colon,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Color Vision Defects,,200,460,750,8890,12710,57500,301200,617500,747500,891350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Colors,,470,624,640,677,745,800,815,858,920,960,2055,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coma,,170,180,840,8120,87320,132510,345030,657500,792500,925790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Combat Disorders,,110,240,700,970,112750,217500,435270,657500,895000,925270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Comedones,Skin,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Common Cold,,120,550,850,7500,120000,247500,472500,725750,850000,975980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Common Variable Immunodeficiency,,30,500,850,14420,53270,147250,267230,312500,747500,958000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Communication Disorders,,150,230,620,950,7500,212850,455980,557500,796500,891500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Communication,,141.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Compassion,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Complex Regional Pain Syndrome Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,,110,4140,33150,72330,121500,280100,525000,617000,712000,988900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Concentration and Creative Thinking,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Concentration Improve,,5.79,7.83,20,35,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Concentration,,7.82,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Concentration,,147.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Condylomata Advanced Set,Skin,45,265,397.4,404,419.9,466=720,487,767,794.9,839.8,874,907=720,1011,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Condylomata Basic Set,,45,265,404,466,489,767,794,874,907=720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Condylomata,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Conflict Resolution,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Confused Thinking,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Congenital Abnormalities,,10,230,730,830,215690,347250,532500,742500,896500,975980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Congenital Abnormalities,,40,230,730,830,215690,347250,532500,742500,896500,975980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Congenital Fiber Type Disproportion,,50,410,830,105210,220500,347250,532500,742500,896500,975980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Congenital Hypothyroidism,,190,520,680,9080,112830,217500,335000,547500,725280,925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Congestive Heart Failure,,9.18,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctival Diseases,,170,520,600,850,118200,227500,455950,560000,750000,975750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Conjunctivitis 2,,20,80,489,660,690,727.5,787,802,880,1550,1600,1830,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctivitis 3,,20,80,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctivitis Bacilius Subtilis,,432,722,822,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctivitis Chlamydia Trachomatis,,430,555.7,620,624,840,866,1111.4,2213,2222.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctivitis Eyelid,,727,787,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Conjunctivitis,Eyes,489,1550,880,802,787,727,20,80,432,722,822,1246,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Conjunctivitis,,170,520,600,850,225530,327500,455950,760000,850000,969710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Conjunctivitis,,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Connecting and Relationships,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Connective Tissue Diseases,,160,490,620,850,15730,105250,335500,432500,725000,933910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Constipation 2,,20,727,776,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Constipation 3,,802,832,3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Constipation,Colon,1550,880,802,832,787,776,422,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Constipation,,727,787,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Contagious Conjunctivitis,,1206000,2025625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Contagious Conjunctivitis,,148,15825.2,18843.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Contraction,,9.09,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Contractions Arrests Discharges,,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Control of Events,,942,161,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Contusion Bruise,,9.09,110,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Contusion,Skin,9.1,110,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Convoforce,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Convulsions 1,,7.69,8.25,9.18,9.19,660,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Convulsions 2,,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Convulsions General,Brain,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Convulsions Spasticity,,9.19,8.25,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Convulsions with Spasticity,,7.69,8.25,9.18,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cooley's Anemia,,50,290,650,6210,7870,45000,56520,135210,302160,409220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coordination Difficulties,,7.83,20,72,95,125,444,600,625,650,660,690,727.5,776,787,807,813,880,1500,1600,1800,1865,2170,2720,10000,,,,,,,,,,,,,,,,,XTRA
COPD Chronic Obstructive Pulmonary Disease,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
COPD,,370,410,620,970,7500,15310,87500,204720,309210,457220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Copper 63cu,,564.21,608.23,12941.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Copper 65cu,,604.41,651.58,13864.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coraforce,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Corallinus,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Corn Smut,,546,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Corn Smut,,546,1642,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Corn Smut,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Corneal Diseases,,40,240,9680,42850,172500,203000,412500,592500,775290,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Corneal Dystrophy Hereditary,,40,240,11450,48150,132790,209270,332300,592500,775290,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corneal Edema,,30,240,6680,30850,95690,292500,412500,692500,773020,925950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Corneal Ulcer,,40,240,9680,42850,172500,203000,412500,592500,775290,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Corneal Ulcer,,959.27,5996.1,6046.89,19267.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corns Feet,,20,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corona Virus Sars,,152.19,155,304.39,309.89,456.5,464.89,608.7,619.89,760.89,774.79,1217.5,1239.7,1369.59,1394.7,2435,2479.5,4870,4959,9740,9918,,,,,,,,,,,,,,,,,,,,,XTRA
Corona Virus,,145.9,165.69,291.69,331.39,437.6,497.1,583.5,662.7,1167,1312.79,1325.5,1491.2,2333.9,2651,4667.8,5301.89,9335.6,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coronaviridae Infections,,80,350,5750,12930,63470,182500,435290,562500,793500,995750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cortex,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corticobasal CBGD,,120,270,7610,32850,98090,222550,462520,602510,743120,905150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Diphtheriae1,,151,340,432,590,624,776,788,842.77,847.73,852.69,925,21250,21375,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Diphtheriae 2,,842.77,847.73,852.69,21250=1800,21375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Diphtheriae 3,,847.73,17027.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Diphtheriae,Respiratory,151,200,340,432,490,624,776,788,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Corynebacterium Diphtheriae,,340000-344000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Corynebacterium Xerosis 1,,782.41,783.28,785.26,19728.13,19750,19800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Xerosis 2,,783.28,15732.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Corynebacterium Xerosis,,315650-316800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Coryza Nose Disorder,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Costalgia 1,,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Costalgia 2,,26,160,660,690,727.5,787,802,880,1500,1550,2720,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Costalgia,Muscle,10000,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Costello Syndrome,,60,320,730,850,10890,66300,185290,253040,735300,957500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cough Lingering,,1666.34,2543.34,2444,55,3665.65,4664.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cough,,70,240,910,7500,12080,145500,442000,574500,797500,983500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cough,,1234,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coughing,Respiratory,522,524,525,146,1500,1550,0.5,514,530,432,440,444,720,1234,3702,20,125,72,95,7.7,,,,,,,,,,,,,,,,,,,,,CAFL
Coxa Plana,,40,320,700,870,5780,32500,181930,621690,705540,815700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coxsackie B1,Intestines,353,384,834,587,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B1,,360500-366100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Coxsackie B1,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie B2,,705,534,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B2,,705,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie B3,,612,487,868,653,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B4,,421,353,540,8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B4,,361450-363700=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Coxsackie B4,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie B5,,462,1043,1083,569,647,708,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B5,,462,1043,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie B6,,488,736,814,343,551,657,668,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie B6,,736,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie General,,612,136,144,232,380,422,424,435,921,923,769,1189,595,676,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Coxsackie Type B1,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Coxsackie Virus Infections,,70,220,620,2500,5500,40000,97500,475290,527000,667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Coxsackie Virus Infections,,70,220,620,2500,360500,366100,364000,475290,527000,667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Coxsackie,,136,232,422,424,435,921,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coxsackie,,136,144,232,380,422,424,435,595,676,769,921,923,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cramping and Nausea,,72,95,190,880,832,787,727,20,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cramps General,,36,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cramps Menstrual,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cranial Nerve Diseases,,60,260,950,5150,27250,42500,95950,427500,67000,862020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cranial Nerve Diseases,,60,260,950,5150,27250,42500,95950,427500,607000,862020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cranial Nerve II Diseases,,40,180,700,2250,5290,47500,275520,425290,571000,813000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Craniocerebral Trauma,,130,230,1600,8530,17500,72530,155290,396500,437480,828570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Craniofacial Dysostosis,,90,3500,12680,51890,110300,292500,452500,695750,825290,953720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Craniopharyngioma,,150,1350,16750,81930,118850,282500,315950,523500,775290,954500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Craniosynostoses,,30,320,730,950,10300,21800,85290,234510,482500,717520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Creative Thought,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Creative Visualization,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Creativity,,8.22,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Creeping Eruption,,70,370,700,850,5690,7250,30000,55540,93500,322060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Creutzfeldt-Jakob New Variant,,70,120,750,930,17500,29000,412000,515000,791500,995150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Creutzfeldt-Jakob Syndrome,,70,120,750,930,15090,24400,417500,505000,791500,995150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cri-du-Chat Syndrome,,160,550,9850,87500,162500,212500,452500,597500,650000,726070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Crick in the Neck,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Crinis Humansis,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Crisis,,140.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Critter 1,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Critter 2,,421,1035,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Critter,,421,1033,1035,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Crocus Sotilus,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Crohn's and Other Bowel Problems,Intestines,110,133,141,173,187,233,350,447,468,488,510,543,604,664,672,782,866,972,979,1423,,,,,,,,,,,,,,,,,,,,,CAFL
Crohn's Disease 1,,14,20,60,95,100,110,333,428,440,523,600,625,650,660,680,690,727,727.5,768,776,786,787,802,810,832,880,1550,2000,3000,10000,,,,,,,,,,,XTRA
Crohn's Disease,Intestines,10000,727,786,440,832,880,1550,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Crohn's Disease Protozoa,,200,206,249,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Crohn's Disease Viroid,,585,593,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Crohn's Disease,,30,410,620,950,7500,25750,87500,480000,525290,825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cross Infection,,60,230,730,830,2750,17500,62500,195950,491000,769710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
